SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-23-2022,Multi-Family (2-4 Unit),141 S 22nd St,South Side,PA,15203,295000,3,2,South Side,,1441,1899,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/141-S-22nd-St-15203/home/74479253,West Penn MLS,1549168,N,Y,40.4263222,-79.9746922
PAST SALE,July-31-2019,Condo/Co-op,144 N Dithridge St #510,Oakland,PA,15213,210000,2,1,Oakland,1557,,1940,,135,853,Sold,,,https://www.redfin.com/PA/Pittsburgh/144-N-Dithridge-St-15213/unit-510/home/74567623,West Penn MLS,1395181,N,Y,40.4482339,-79.950786
PAST SALE,August-15-2019,Single Family Residential,1144 Wightman St,Squirrel Hill,PA,15217,654000,6,3.5,Squirrel Hill,2678,,1901,,244,,Sold,,,https://www.redfin.com/PA/Pittsburgh/1144-Wightman-St-15217/home/74750012,West Penn MLS,1396759,N,Y,40.4462586,-79.9290861
PAST SALE,August-28-2020,Condo/Co-op,128 N Craig St #303,Oakland,PA,15213,258500,3,2,Oakland,1680,,1957,,154,922,Sold,,,https://www.redfin.com/PA/Pittsburgh/128-N-Craig-St-15213/unit-303/home/74664775,West Penn MLS,1427065,N,Y,40.4480778,-79.9483198
PAST SALE,August-19-2022,Condo/Co-op,928 Bellefonte St,Shadyside,PA,15232,353000,3,1.5,Shadyside,1368,,1935,,258,258,Sold,,,https://www.redfin.com/PA/Pittsburgh/928-Bellefonte-St-15232/home/74665459,West Penn MLS,1563273,N,Y,40.4493873,-79.9330052
PAST SALE,January-23-2019,Single Family Residential,124 Penrose Dr,Point Breeze,PA,15208,590000,4,3,Point Breeze,2780,,1960,,212,,Sold,,,https://www.redfin.com/PA/Pittsburgh/124-Penrose-Dr-15208/home/73494080,West Penn MLS,1368474,N,Y,40.4495387,-79.9058672
PAST SALE,September-2-2021,Single Family Residential,159 1/2 38th St,Lawrenceville,PA,15201,379900,2,1.5,Lawrenceville,1226,1742,1890,,310,,Sold,,,https://www.redfin.com/PA/Pittsburgh/159-1-2-38th-St-15201/home/74651930,West Penn MLS,1510757,N,Y,40.4679636,-79.9655419
PAST SALE,April-12-2021,Condo/Co-op,5728 Elwood St #11,Shadyside,PA,15232,185000,1,1,Shadyside,747,,1969,,248,175,Sold,,,https://www.redfin.com/PA/Pittsburgh/5728-Elwood-St-15232/unit-11/home/74745959,West Penn MLS,1483034,N,Y,40.4529041,-79.9300698
PAST SALE,December-11-2020,Single Family Residential,4919 Hatfield St,Lawrenceville,PA,15201,390000,3,3,Lawrenceville,1519,2178,1910,,257,,Sold,,,https://www.redfin.com/PA/Pittsburgh/4919-Hatfield-St-15201/home/73509681,West Penn MLS,1474116,N,Y,40.4780842,-79.9573142
PAST SALE,June-2-2022,Condo/Co-op,5607 Elmer St #306,Shadyside,PA,15232,322000,2,1,Shadyside,945,,1900,,341,221,Sold,,,https://www.redfin.com/PA/Pittsburgh/5607-Elmer-St-15232/unit-306/home/74746047,West Penn MLS,1548758,N,Y,40.4532824,-79.9323315
PAST SALE,December-27-2018,Townhouse,31 Hemingway St,Shadyside,PA,15213,310000,4,2,Shadyside,1440,,1995,,215,191,Sold,,,https://www.redfin.com/PA/Pittsburgh/31-Hemingway-St-15213/home/74564135,West Penn MLS,1361758,N,Y,40.456522,-79.950564
PAST SALE,May-15-2020,Single Family Residential,1708 Jancey St,Morningside,PA,15206,180000,2,1,Morningside,1020,,1930,,176,,Sold,,,https://www.redfin.com/PA/Pittsburgh/1708-Jancey-St-15206/home/73539754,West Penn MLS,1429318,N,Y,40.4848887,-79.9274188
PAST SALE,September-17-2021,Townhouse,844 Heberton St,Highland Park,PA,15206,170000,4,1.5,Highland Park,1632,2178,1909,,104,,Sold,,,https://www.redfin.com/PA/Pittsburgh/844-Heberton-St-15206/home/74473733,West Penn MLS,1500949,N,Y,40.4695245,-79.91636
PAST SALE,June-28-2019,Condo/Co-op,5 Bayard Rd #607,Shadyside,PA,15213,175000,1,1,Shadyside,856,,1969,,204,404,Sold,,,https://www.redfin.com/PA/Pittsburgh/5-Bayard-Rd-15213/unit-607/home/73554364,West Penn MLS,1386601,N,Y,40.4526045,-79.9428352
PAST SALE,June-18-2021,Single Family Residential,259 45th St,Lawrenceville,PA,15201,302500,5,2,Lawrenceville,3034,2178,1900,,100,,Sold,,,https://www.redfin.com/PA/Pittsburgh/259-45th-St-15201/home/74651854,West Penn MLS,1500059,N,Y,40.4711406,-79.9576202
PAST SALE,October-9-2020,Condo/Co-op,128 N Craig St #617,Oakland,PA,15213,218000,3,2,Oakland,1382,,1957,,158,879,Sold,,,https://www.redfin.com/PA/Pittsburgh/128-N-Craig-St-15213/unit-617/home/74664825,West Penn MLS,1462975,N,Y,40.4480778,-79.9483198
PAST SALE,October-1-2021,Single Family Residential,431 Taylor St,Bloomfield,PA,15224,301000,3,1.5,Bloomfield,1972,1306,1890,,153,,Sold,,,https://www.redfin.com/PA/Pittsburgh/431-Taylor-St-15224/home/74563342,West Penn MLS,1518674,N,Y,40.4605557,-79.9523315
PAST SALE,May-16-2019,Single Family Residential,254 Gross St,Friendship Park,PA,15224,323000,4,1.5,Friendship Park,2592,,1925,,125,,Sold,,,https://www.redfin.com/PA/Pittsburgh/254-Gross-St-15224/home/74775417,West Penn MLS,1384684,N,Y,40.463266,-79.9445946
PAST SALE,September-10-2021,Condo/Co-op,5 Bayard Rd #214,Shadyside,PA,15213,180000,1,1,Shadyside,880,,1969,,205,459,Sold,,,https://www.redfin.com/PA/Pittsburgh/5-Bayard-Rd-15213/unit-214/home/74664721,West Penn MLS,1511669,N,Y,40.4526045,-79.9428352
PAST SALE,August-27-2021,Single Family Residential,1211 Goodman St,Squirrel Hill,PA,15218,425000,3,2,Squirrel Hill,,7501,1952,,,,Sold,,,https://www.redfin.com/PA/Pittsburgh/1211-Goodman-St-15218/home/164196116,West Penn MLS,1510765,N,Y,40.4190807,-79.9036368
